timestamp,hours_from_start,breach_flow_cfs,breach_velocity_fts,breach_width_ft,breach_bottom_elev_ft
04SEP2026 05:42:00,5.699999999999999,1741.935,3.891,328.0,170.0
04SEP2026 05:43:00,5.7168,1730.816,3.888,328.0,170.0
04SEP2026 05:44:00,5.7336,1719.822,3.886,328.0,170.0
04SEP2026 05:45:00,5.7504,1708.911,3.884,328.0,170.0
04SEP2026 05:46:00,5.767200000000001,1698.102,3.882,328.0,170.0
04SEP2026 05:47:00,5.784,1687.415,3.88,328.0,170.0
04SEP2026 05:48:00,5.8008,1676.809,3.878,328.0,170.0
04SEP2026 05:49:00,5.8176000000000005,1666.305,3.876,328.0,170.0
04SEP2026 05:50:00,5.8344000000000005,1655.922,3.874,328.0,170.0
04SEP2026 05:51:00,5.8511999999999995,1645.618,3.873,328.0,170.0
04SEP2026 05:52:00,5.865600000000001,1635.414,3.871,328.0,170.0
04SEP2026 05:53:00,5.8824000000000005,1625.309,3.87,328.0,170.0
04SEP2026 05:54:00,5.8991999999999996,1615.282,3.868,328.0,170.0
04SEP2026 05:55:00,5.916,1605.373,3.867,328.0,170.0
04SEP2026 05:56:00,5.9328,1595.542,3.866,328.0,170.0
04SEP2026 05:57:00,5.9496,1585.808,3.864,328.0,170.0
04SEP2026 05:58:00,5.9664,1576.171,3.863,328.0,170.0
04SEP2026 05:59:00,5.9832,1566.61,3.862,328.0,170.0
04SEP2026 06:00:00,6.0,1557.146,3.861,328.0,170.0
04SEP2026 06:01:00,6.0168,1547.776,3.861,328.0,170.0
04SEP2026 06:02:00,6.0336,1538.501,3.86,328.0,170.0
04SEP2026 06:03:00,6.0504,1529.301,3.859,328.0,170.0
04SEP2026 06:04:00,6.067200000000001,1520.176,3.858,328.0,170.0
04SEP2026 06:05:00,6.084,1511.144,3.858,328.0,170.0
04SEP2026 06:06:00,6.1008,1502.206,3.858,328.0,170.0
04SEP2026 06:07:00,6.1176,1493.341,3.857,328.0,170.0
04SEP2026 06:08:00,6.134399999999999,1484.568,3.857,328.0,170.0
04SEP2026 06:09:00,6.151199999999999,1475.869,3.857,328.0,170.0
04SEP2026 06:10:00,6.1656,1467.241,3.857,328.0,170.0
04SEP2026 06:11:00,6.1823999999999995,1458.705,3.857,328.0,170.0
04SEP2026 06:12:00,6.199199999999999,1450.258,3.857,328.0,170.0
04SEP2026 06:13:00,6.216,1441.865,3.857,328.0,170.0
04SEP2026 06:14:00,6.232799999999999,1433.58,3.857,328.0,170.0
04SEP2026 06:15:00,6.249600000000001,1425.348,3.858,328.0,170.0
04SEP2026 06:16:00,6.2664,1417.205,3.858,328.0,170.0
04SEP2026 06:17:00,6.283199999999999,1409.131,3.859,328.0,170.0
04SEP2026 06:18:00,6.300000000000001,1401.128,3.86,328.0,170.0
